Expense_ID,Category,Amount,Date,Description
311,Bed,1703.48,2022-10-19,Leader upon interesting use cell.
312,Anyone,3598.68,2023-01-30,National stock speech conference window girl old.
313,Capital,645.17,2023-03-29,Less specific effort stage movement growth raise.
314,Son,2351.52,2023-12-13,Read how without.
315,Box,377.25,2022-11-13,Leave soldier race big service glass.
316,Impact,1762.56,2023-04-15,Boy similar box reason find.
317,Tree,933.92,2023-08-04,Everything wind camera list where world different.
318,Cup,2851.6,2023-04-19,Maintain cold I.
319,Republican,3848.72,2023-05-31,Lawyer manage technology teacher moment.
320,Later,229.71,2023-02-04,Exist painting market measure never member window.
321,Both,1324.84,2022-10-05,Fast indeed to require culture.
322,Day,4116.05,2023-02-22,Listen force government traditional.
323,Focus,176.38,2022-02-06,Common show event fast.
324,Trouble,1836.73,2023-06-15,Institution like model task.
325,Own,2497.85,2022-10-01,Day detail return chance give red.
326,Major,2054.8,2023-08-31,Two law he arrive.
327,Strong,3011.97,2023-08-08,Glass sometimes cell short shake.
328,Last,2695.91,2022-05-09,Term knowledge determine energy claim agent.
329,Open,2725.99,2023-09-27,Mission rest believe mind model.
330,Suffer,302.91,2023-02-11,Type continue cup cost similar.
331,Act,360.72,2022-10-19,Price upon four federal nothing.
332,Move,2048.2,2022-01-07,Seat television product back risk partner know back.
333,Quality,2111.14,2022-12-08,Whom produce hot benefit nice.
334,Although,3359.57,2023-01-26,Major successful player any increase try.
335,Protect,3086.31,2022-03-28,Night though fight store dark yeah exactly tend.
336,Particularly,1551.48,2022-12-30,Foreign sign bit.
337,Daughter,1577.25,2023-09-06,Other kitchen not power.
338,Art,2476.37,2023-04-23,Daughter age business campaign energy town anyone stay.
339,Process,591.8,2023-09-28,Available race imagine clearly lawyer maybe.
340,Lawyer,4819.86,2023-04-18,Name identify exist might third data.
341,Throw,1571.41,2022-08-07,Two into dinner.
342,Change,585.29,2023-09-29,House participant until its.
343,Affect,2988.29,2022-11-08,These half continue despite add fight.
344,Trouble,2516.45,2023-02-18,Expect high both care worker.
345,Meet,105.94,2023-04-20,Will piece clear move than special include.
346,Yes,2117.32,2023-10-22,Piece picture form cause can certainly.
347,Effect,1019.96,2023-03-29,Company discussion only itself security election.
348,Hot,3614.08,2023-04-04,Edge baby cup occur wrong certainly bar.
349,Store,608.36,2022-01-31,Specific court end cover.
350,Exactly,607.91,2023-05-14,Drug study southern else.
351,Piece,525.9,2023-12-25,Vote left stage single rule thank.
352,Land,4878.08,2022-09-03,Specific sure card reveal country hot its.
353,Possible,4563.92,2023-03-31,Military improve prove scene event total American.
354,Sign,1865.95,2023-03-20,Whatever home end or remember knowledge film visit.
355,Glass,427.05,2023-10-07,Wish occur change environmental.
356,Cold,890.0,2022-03-13,Food program positive guy exist unit.
357,Only,3590.42,2022-02-20,Bag so budget tough long will.
358,Bit,2680.51,2023-07-06,Then successful phone drive light.
359,Both,4412.68,2023-01-09,Cover society better campaign ago region.
360,Difficult,2333.98,2022-11-16,Send very must computer true.
361,Final,4477.24,2022-05-21,Add officer put how.
362,Us,1348.34,2023-08-29,Member finally establish thus.
363,Cover,364.85,2023-07-09,History pressure cell letter toward off serve.
364,Reach,2285.9,2023-02-18,Across task door president kind.
365,Analysis,3446.43,2022-09-10,Focus society blood media.
366,While,4615.67,2023-09-06,Meeting address reflect house price.
367,Peace,810.04,2022-12-03,Situation another good project theory benefit free claim.
368,West,1421.11,2022-09-22,Job somebody red owner red now.
369,Candidate,3674.29,2023-08-11,Remain into discuss glass actually improve.
370,Head,2126.55,2023-01-05,Job ability table open.
371,Population,1472.57,2022-07-10,Call may wear exist thus see part.
372,Hand,1131.39,2023-10-13,Responsibility until third own investment month sport together.
