Transaction_ID,Customer_ID,Product_ID,Quantity,Price,Date,Time
931,91217,34504,3,723.16,2022-10-07,11:56:25
932,66210,27246,6,434.5,2021-12-26,06:07:55
933,50869,83514,9,350.88,2022-05-04,23:14:03
934,78638,68749,1,518.64,2023-01-24,22:56:16
935,42111,50342,5,364.58,2023-07-03,14:45:58
936,686,32,5,96.82,2023-02-28,11:37:21
937,20638,27241,2,931.29,2022-08-05,08:47:50
938,36446,21997,5,573.48,2022-10-05,08:50:46
939,88141,11428,2,449.58,2022-04-16,02:38:52
940,59632,42354,7,825.11,2023-11-02,00:01:12
941,15249,72217,5,897.28,2022-09-16,17:30:20
942,83928,73010,6,84.06,2023-05-29,10:57:18
943,5828,28916,1,933.29,2023-03-15,11:45:03
944,11500,4797,10,115.17,2022-12-17,05:43:16
945,46454,2446,2,450.75,2022-09-06,09:29:27
946,57685,35394,4,114.51,2022-09-22,07:06:43
947,63048,51354,10,271.98,2023-11-05,23:56:10
948,721,37765,3,508.84,2022-12-26,01:28:22
949,98358,43489,5,331.98,2023-04-21,21:46:03
950,65823,65008,5,781.2,2022-08-25,14:19:30
951,70891,18118,8,630.35,2022-03-13,05:16:25
952,70402,81820,2,246.9,2023-10-21,10:11:52
953,42603,63569,8,842.0,2022-12-06,12:07:19
954,17629,72037,6,217.72,2023-08-19,20:52:46
955,18536,49447,2,432.82,2023-04-22,06:53:52
956,74807,11192,10,516.03,2023-08-07,19:55:05
957,80584,41098,2,630.37,2023-07-06,13:19:25
958,97980,52470,1,245.8,2023-02-22,17:12:38
959,99032,42666,6,652.97,2023-06-30,11:12:54
960,74031,43599,2,995.61,2023-08-16,17:09:29
961,10961,29971,3,435.86,2022-07-26,01:50:40
962,21556,51927,3,353.86,2022-05-23,02:55:17
963,34713,26751,8,205.03,2022-11-23,20:59:03
964,74868,50511,1,17.67,2022-07-07,05:39:44
965,90229,53595,3,104.54,2022-10-09,14:10:50
966,61811,71858,5,583.67,2023-04-18,05:23:53
967,78807,88156,9,775.41,2023-11-03,11:18:32
968,36697,62825,8,97.16,2023-02-22,10:54:13
969,55057,84680,6,482.21,2022-10-08,15:11:51
970,68598,81343,5,256.7,2023-09-29,00:21:13
971,19891,466,3,743.19,2022-10-20,13:09:11
972,84676,35303,4,636.37,2023-03-28,02:22:02
973,26636,99518,4,254.67,2022-03-05,19:22:19
974,36562,30240,5,929.96,2022-02-04,01:33:29
975,91299,9714,4,795.4,2023-07-31,03:58:05
976,52309,17609,5,365.68,2022-04-14,05:20:21
977,65333,34547,9,844.26,2022-11-30,22:42:35
978,89230,31281,4,195.55,2022-07-17,21:41:41
979,94176,83367,4,118.69,2022-09-06,20:22:23
980,27937,68683,9,763.27,2022-11-25,03:17:14
981,51878,88567,4,347.37,2022-07-16,01:53:27
982,12100,64622,10,594.13,2023-08-31,15:36:00
983,17954,29111,10,61.79,2023-08-05,14:58:28
984,93213,23339,10,827.15,2023-08-16,09:27:59
985,62387,17511,7,130.75,2023-09-16,00:41:36
986,51734,56344,4,288.94,2023-08-04,14:35:58
987,91709,31014,7,983.02,2023-07-11,13:08:28
988,72990,10700,10,610.29,2022-05-31,06:52:03
989,39128,61444,7,422.62,2023-12-13,02:38:50
990,77908,52346,8,57.06,2021-12-29,06:40:44
991,63343,94477,1,75.1,2023-11-10,00:55:34
992,79521,99106,10,447.89,2022-01-24,07:15:07
993,81286,45,6,168.43,2023-11-17,22:01:33
994,12117,90274,9,961.26,2023-01-03,09:05:27
995,24714,70486,7,534.98,2022-10-30,04:07:27
996,93018,16991,6,109.31,2022-10-02,17:56:27
997,63622,62609,10,843.41,2022-06-20,10:26:08
998,11984,99658,8,596.69,2023-12-08,08:59:12
999,47530,77253,1,362.06,2022-01-06,00:42:02
1000,86785,48940,7,374.3,2022-03-17,06:48:44
