Transaction_ID,Customer_ID,Product_ID,Quantity,Price,Date,Time
125,31214,80402,4,85.3,2022-09-04,15:55:25
126,32057,21099,3,964.25,2022-04-07,19:52:22
127,79795,3053,10,585.1,2023-12-20,08:19:25
128,71481,25939,4,954.36,2023-01-13,08:49:03
129,41832,44991,6,203.96,2023-04-30,05:49:00
130,93704,81360,6,463.37,2023-12-02,06:18:35
131,63632,66568,10,774.34,2023-09-17,09:19:45
132,42965,56436,4,171.03,2022-03-04,16:17:29
133,31669,93888,8,682.89,2022-12-15,21:43:32
134,69449,83784,10,170.24,2022-11-19,21:56:18
135,32344,23467,5,235.55,2022-11-17,05:24:22
136,53319,42098,4,683.46,2023-10-24,21:26:22
137,53366,15427,5,520.34,2022-10-01,03:34:29
138,84384,99979,10,974.87,2022-01-30,02:41:47
139,37223,44551,3,686.86,2023-02-19,01:48:29
140,71932,35415,2,738.32,2022-02-05,02:41:50
141,66965,13280,4,229.55,2023-11-01,12:57:32
142,75135,57024,10,688.8,2022-03-16,06:45:35
143,59317,71127,1,451.21,2022-03-06,22:48:55
144,15774,12318,9,311.15,2023-04-30,02:39:21
145,64061,46458,6,462.17,2023-08-21,00:47:15
146,26586,13605,3,659.95,2023-12-12,12:46:37
147,49782,50377,2,744.56,2022-03-09,06:34:45
148,88792,96477,5,597.4,2023-01-10,04:52:31
149,8295,13053,6,439.9,2023-05-12,10:09:02
150,69619,34538,5,401.4,2023-05-26,20:36:46
151,89664,55137,6,257.02,2022-10-19,02:40:40
152,47585,37338,2,702.97,2022-02-03,02:53:15
153,52919,63835,1,14.08,2023-03-26,03:39:18
154,71600,98314,1,362.33,2022-05-14,16:03:12
155,68179,91729,7,214.7,2022-03-31,08:31:58
156,9261,9023,9,594.59,2023-03-06,14:41:48
157,50635,41686,9,414.06,2023-02-12,11:12:20
158,28547,15981,2,297.73,2023-08-02,08:28:11
159,81003,2643,8,714.25,2022-11-08,11:37:18
160,53337,43133,2,25.7,2022-03-29,10:38:50
161,45941,41643,5,293.54,2023-01-30,13:27:50
162,38939,57196,4,360.8,2023-03-05,08:35:32
163,50098,39308,5,634.51,2022-08-08,05:39:14
164,72237,51824,10,646.29,2021-12-30,08:07:56
165,42508,49430,4,20.17,2022-02-24,15:57:07
166,47913,46670,6,522.57,2023-02-09,19:30:12
167,77131,25304,4,992.92,2023-01-25,22:46:04
168,38323,81616,6,466.7,2022-12-28,12:12:52
169,89412,21669,4,672.97,2022-05-14,00:33:32
170,3726,46124,10,565.27,2022-11-22,22:42:15
171,30308,88383,9,93.14,2022-11-04,09:42:51
172,58647,29763,9,95.37,2022-09-15,05:06:04
173,25454,57528,9,109.76,2022-09-17,02:56:58
174,27156,45245,8,22.63,2023-08-20,05:42:25
175,96413,86818,1,536.93,2022-07-14,05:09:40
176,20394,2665,1,884.56,2023-08-02,05:03:19
177,67850,8547,3,532.56,2022-03-09,20:44:37
178,35725,42283,7,966.29,2022-03-13,10:00:31
179,61232,80290,5,679.53,2022-09-09,03:16:08
180,96090,36330,4,77.03,2022-09-11,03:31:24
181,14555,83435,7,409.6,2022-01-07,00:19:18
182,98669,33415,2,179.76,2022-08-20,00:02:16
183,85177,45592,4,509.4,2022-11-30,12:33:46
184,22906,83395,10,741.14,2022-09-12,05:54:39
185,69437,69730,6,141.23,2023-03-01,05:30:56
186,77041,18640,6,829.67,2023-04-20,18:57:34
