Expense_ID,Category,Amount,Date,Description
251,Marketing and Advertising,219299.81,2023-10-14,Low majority argue brother during tonight.
252,Facility Maintenance and Utilities,295964.81,2023-10-06,Ready candidate television southern amount song.
253,Vehicle Procurement,381016.24,2023-12-05,Do everything knowledge could.
254,Parts and Inventory,43056.65,2023-04-16,Try cut project without car course.
255,Marketing and Advertising,69302.12,2023-12-27,Member allow small ahead leader quite buy hot.
256,Employee Salaries and Benefits,409950.21,2023-03-27,Fear first environmental matter natural fish.
257,Employee Salaries and Benefits,13550.02,2023-06-28,Itself modern lawyer nature.
258,Research and Development,156660.18,2023-08-28,Old ball several success term.
259,Manufacturing and Production,480651.46,2023-10-07,Today long song serve race finish road.
260,Employee Salaries and Benefits,334813.31,2023-02-11,Speech loss family month throw image.
261,Employee Salaries and Benefits,340294.72,2023-03-11,On far animal despite.
262,Marketing and Advertising,52804.48,2023-11-24,Dog partner and social.
263,Legal and Compliance,392258.14,2023-10-08,Meeting type pick bad.
264,Employee Salaries and Benefits,448428.47,2023-09-17,West TV rule subject remain audience interesting.
265,Manufacturing and Production,142349.79,2023-06-24,Threat present to term bill size they.
266,Parts and Inventory,47691.62,2023-04-03,Try including day better reduce turn.
267,Legal and Compliance,47760.87,2023-03-31,Million rather north.
268,Employee Salaries and Benefits,390386.05,2023-07-27,Shoulder plant politics wall.
269,Facility Maintenance and Utilities,268384.66,2023-11-29,Admit why last senior.
270,Research and Development,209862.44,2023-09-24,Ahead consumer world movement.
271,Logistics and Transportation,402108.14,2023-06-11,Once expect image story direction attack he.
272,Manufacturing and Production,374740.98,2023-04-16,Cover total participant line yard sign there control.
273,Vehicle Procurement,361561.6,2023-08-31,Country reach wait inside increase tell.
274,Parts and Inventory,64821.15,2023-09-12,Herself mission during where vote happen voice.
275,Parts and Inventory,477782.61,2023-01-30,Follow news whatever rock himself accept.
276,Technology and IT Infrastructure,155741.4,2023-01-20,Yourself finish understand grow adult appear military theory.
277,Technology and IT Infrastructure,413029.7,2023-03-29,One study believe too audience.
278,Parts and Inventory,390073.24,2023-09-03,Shoulder town authority leg be.
279,Logistics and Transportation,125332.1,2023-06-18,I risk mother also kind themselves yes someone.
280,Logistics and Transportation,39864.49,2023-12-28,Born meet back analysis prepare appear bed couple.
281,Marketing and Advertising,168730.58,2023-02-13,Tend east write event dinner or final wind.
282,Vehicle Procurement,102578.52,2023-08-09,Chance reason increase nation whether impact.
283,Logistics and Transportation,370948.34,2023-07-26,Still industry director I manage police course some.
284,Marketing and Advertising,323123.6,2023-09-06,Subject beyond throw shake later maintain third.
285,Parts and Inventory,67060.0,2023-03-21,Happen them even structure policy.
286,Facility Maintenance and Utilities,352767.03,2023-09-29,Weight ball quickly operation receive.
287,Employee Salaries and Benefits,291396.44,2023-06-18,Down bag several performance watch serve machine.
288,Manufacturing and Production,320399.95,2023-01-16,Condition culture politics themselves risk.
289,Employee Salaries and Benefits,171528.96,2023-02-08,May admit night practice.
290,Employee Salaries and Benefits,493369.95,2023-08-13,It several no data manage.
291,Marketing and Advertising,389359.75,2023-11-27,Choice we whole local rise.
292,Employee Salaries and Benefits,393868.42,2023-10-10,Foot attorney sell.
293,Facility Maintenance and Utilities,355514.63,2023-04-02,Court risk me hear stuff cost white nearly.
294,Logistics and Transportation,83188.45,2023-01-15,About country care media world standard mention.
295,Parts and Inventory,179609.45,2023-08-01,Marriage night best value current sport identify.
296,Legal and Compliance,13925.95,2023-05-09,Nation visit check since situation product.
297,Marketing and Advertising,497995.0,2023-12-26,Religious indicate industry citizen card think ahead rate.
298,Parts and Inventory,334155.18,2024-01-01,But onto already lot long per.
299,Employee Salaries and Benefits,67945.17,2023-11-14,Evening garden with pass.
300,Technology and IT Infrastructure,396300.51,2023-03-07,What form kind join wonder act.
301,Technology and IT Infrastructure,91543.73,2023-10-07,Pay who everything receive point change.
302,Facility Maintenance and Utilities,406249.62,2023-03-22,Surface every anyone kitchen only country employee low.
303,Logistics and Transportation,494468.21,2023-12-05,Onto voice check.
304,Logistics and Transportation,281766.24,2023-05-28,Senior series sound almost important room list.
305,Research and Development,236253.09,2023-08-07,About interview family area say low school.
306,Employee Salaries and Benefits,402614.6,2023-03-02,Eat tonight north like physical.
307,Technology and IT Infrastructure,478258.68,2023-05-20,See stuff adult thus from road call cause.
308,Technology and IT Infrastructure,370679.26,2023-02-06,Organization camera physical west campaign.
309,Legal and Compliance,499436.14,2023-05-18,Future personal everything.
310,Marketing and Advertising,207577.52,2023-04-11,Prepare agreement member TV meeting enter.
311,Employee Salaries and Benefits,447473.48,2023-12-02,Within choice knowledge level minute very.
312,Parts and Inventory,79918.34,2023-04-12,Opportunity when find.
313,Research and Development,486901.07,2023-04-03,Seem father thing traditional.
314,Research and Development,371476.61,2023-06-22,Pm market worker down party full.
315,Employee Salaries and Benefits,474139.53,2023-09-08,Dinner plan fire probably hospital standard affect.
316,Manufacturing and Production,488693.24,2023-11-10,Identify challenge almost finish exactly then.
317,Facility Maintenance and Utilities,360085.4,2023-05-24,Item camera add because prove season reflect deep.
318,Employee Salaries and Benefits,289545.45,2023-05-17,Bit impact affect create morning.
