Expense_ID,Category,Amount,Date,Description
501,Parts and Inventory,407758.59,2023-03-04,Himself future song often question effect.
502,Marketing and Advertising,334331.14,2023-08-29,Blue between add decision home student attack.
503,Manufacturing and Production,208748.49,2023-04-19,Poor store art herself production up.
504,Legal and Compliance,239351.2,2023-10-05,Cultural century structure much defense.
505,Parts and Inventory,113486.0,2023-04-04,Dinner it best international.
506,Legal and Compliance,180769.02,2023-10-17,Without throughout rise point address size morning pay.
507,Logistics and Transportation,169584.13,2023-03-29,Alone box officer discover thought let camera.
508,Vehicle Procurement,225808.66,2023-04-27,Lot senior structure agreement explain fine performance.
509,Logistics and Transportation,42195.88,2023-06-30,Middle no degree weight travel news.
510,Logistics and Transportation,422885.4,2023-09-24,Pressure list it that can owner full.
511,Technology and IT Infrastructure,22760.52,2023-09-11,Serve wind unit serious build too shake green.
512,Facility Maintenance and Utilities,384612.22,2023-04-23,Worry all attorney similar program challenge development.
513,Research and Development,356747.22,2023-04-27,Positive star along sea tree nor scientist idea.
514,Marketing and Advertising,69059.26,2023-03-23,Full official eye series boy.
515,Marketing and Advertising,199807.77,2023-12-06,Success view story development.
516,Manufacturing and Production,416269.95,2023-08-22,Difference near simple wrong their check.
517,Logistics and Transportation,479418.08,2023-11-16,Wait use against military fight memory it.
518,Vehicle Procurement,143448.08,2023-08-28,Same wide car culture.
519,Research and Development,353607.12,2023-11-17,Protect do apply place personal operation.
520,Marketing and Advertising,71819.78,2023-11-15,Instead join democratic bad little.
521,Legal and Compliance,368431.63,2023-03-09,Sort many suggest natural recognize challenge ago.
522,Logistics and Transportation,133790.12,2023-02-19,Company seat Mr back Republican effort.
523,Legal and Compliance,164498.88,2023-09-30,Watch old positive piece carry despite soldier.
524,Vehicle Procurement,166054.11,2023-08-18,To social they government.
525,Legal and Compliance,498304.57,2023-03-17,Effort window cover baby she project.
526,Logistics and Transportation,448113.12,2023-07-13,Quickly energy travel other bed say employee.
