Expense_ID,Category,Amount,Date,Description
249,Logistics and Transportation,181958.57,2023-09-27,Safe news style fall activity.
250,Research and Development,158103.7,2023-09-06,Much hair according everybody sister yet career.
251,Vehicle Procurement,228038.28,2023-09-08,Edge site rate it listen edge.
252,Marketing and Advertising,198711.5,2023-05-28,Guy discover brother ahead.
253,Employee Salaries and Benefits,216079.49,2023-03-06,Send each father material effort ask.
254,Manufacturing and Production,51428.67,2023-12-08,Civil how seem.
255,Vehicle Procurement,48247.88,2022-10-15,Manager also employee local before.
256,Employee Salaries and Benefits,237160.11,2022-02-06,Professional us reveal wear future color wish under.
257,Manufacturing and Production,183691.59,2022-04-04,Company well shoulder structure once now.
258,Facility Maintenance and Utilities,194156.74,2022-06-14,Look good more mouth allow lot.
259,Marketing and Advertising,222895.96,2022-02-03,Thus situation note.
260,Vehicle Procurement,188089.96,2023-06-15,Court carry feel voice use focus assume.
261,Marketing and Advertising,27577.86,2023-08-25,Write mind be mention debate.
262,Marketing and Advertising,138559.64,2023-12-01,Lot air assume agent lay.
263,Parts and Inventory,216149.86,2023-07-16,Training despite available enjoy focus.
264,Marketing and Advertising,298709.95,2022-05-20,Relationship generation tell baby color body front.
265,Logistics and Transportation,52136.25,2023-04-09,Region actually above though perform sure material could.
266,Parts and Inventory,207738.76,2022-05-12,When water officer fire movie suddenly.
267,Technology and IT Infrastructure,231928.52,2023-06-02,Hour thousand military treatment begin heart.
268,Facility Maintenance and Utilities,203726.13,2023-08-29,Its recognize against point life call institution.
269,Vehicle Procurement,93662.07,2023-03-07,Beautiful real poor detail interesting person offer.
270,Technology and IT Infrastructure,263984.5,2022-10-15,Range space describe as let forward language.
271,Research and Development,154448.61,2022-02-18,Do if yeah heart cultural who.
272,Marketing and Advertising,6438.13,2022-05-21,Style often test.
273,Employee Salaries and Benefits,159970.21,2023-03-30,The least budget career economy though.
274,Employee Salaries and Benefits,278565.18,2022-10-28,Human employee whom truth list forget.
275,Parts and Inventory,103974.87,2022-03-25,Should quickly ability great.
276,Marketing and Advertising,45215.51,2022-07-01,Program rate budget glass claim response tonight when.
277,Facility Maintenance and Utilities,165001.47,2022-06-11,Sound debate federal fight little sure level.
278,Vehicle Procurement,40567.46,2023-05-21,Near main step anything ever training everyone cost.
279,Employee Salaries and Benefits,24098.9,2022-09-09,Job media line.
280,Research and Development,207711.14,2023-02-22,Purpose result during exist window trouble.
281,Parts and Inventory,237600.69,2022-12-05,Issue building issue people economic.
282,Legal and Compliance,64521.66,2023-10-27,Music conference impact stay pull like edge.
283,Logistics and Transportation,154983.09,2022-08-13,Wind city morning his view.
284,Manufacturing and Production,41114.06,2022-09-08,Democratic effort listen law serve writer agree.
285,Employee Salaries and Benefits,173274.18,2022-11-07,Politics chair least hospital yet nearly.
286,Facility Maintenance and Utilities,51883.03,2023-02-21,View can half better.
287,Employee Salaries and Benefits,122941.98,2022-11-06,Party onto crime season little I raise.
288,Employee Salaries and Benefits,240418.81,2022-06-21,School agent leg success.
289,Vehicle Procurement,148880.57,2023-02-28,Able student low responsibility provide.
290,Employee Salaries and Benefits,294862.5,2023-01-13,Issue issue game federal draw size public chair.
291,Parts and Inventory,204711.89,2023-05-28,Plan you window travel.
292,Employee Salaries and Benefits,65596.98,2023-12-19,Above check myself lay.
293,Parts and Inventory,121915.18,2022-09-18,Research than reason social happy attack.
294,Logistics and Transportation,115646.72,2023-03-17,Friend ability together side garden team.
295,Research and Development,150613.7,2022-10-15,Something trouble player tend close first official allow.
296,Parts and Inventory,200864.95,2023-05-17,Off writer mission middle almost.
297,Research and Development,167087.63,2023-03-23,Far history usually society language it.
298,Vehicle Procurement,31099.78,2022-03-31,Thus can similar security conference.
299,Vehicle Procurement,91781.41,2023-06-06,Red child see imagine.
300,Facility Maintenance and Utilities,232928.77,2023-05-07,City bed all know house five return.
301,Technology and IT Infrastructure,119039.36,2022-03-07,Deal family across reveal often ball.
302,Manufacturing and Production,155276.38,2022-06-27,Media college begin miss give resource.
303,Logistics and Transportation,192596.84,2022-11-12,Fish increase standard hit adult.
304,Facility Maintenance and Utilities,256769.25,2023-04-26,Course not address take name suffer sell.
305,Parts and Inventory,58946.79,2023-11-12,Environmental power pressure.
306,Manufacturing and Production,236771.51,2022-06-17,Expert enough bit.
307,Marketing and Advertising,192085.65,2023-06-04,White for hear yeah apply story.
308,Facility Maintenance and Utilities,96111.28,2022-06-02,Degree weight success treatment hope.
309,Manufacturing and Production,48422.66,2022-06-19,Month against rate race fire story.
310,Marketing and Advertising,68755.32,2023-09-05,Marriage contain action food account.
