Expense_ID,Category,Amount,Date,Description
373,Marketing and Advertising,5870.64,2022-04-26,Fear drug even image.
374,Manufacturing and Production,2775.84,2022-01-28,Certain figure southern when strategy.
375,Manufacturing and Production,1226.57,2022-10-22,Rock hard discuss kind forget give.
376,Logistics and Transportation,6451.84,2023-01-23,Analysis task provide identify.
377,Manufacturing and Production,9084.24,2022-01-05,Recently mention these art.
378,Vehicle Procurement,9436.1,2023-11-21,Good radio else far.
379,Parts and Inventory,3820.14,2022-07-12,Generation method create number start pressure.
380,Research and Development,171.13,2023-01-28,Leader provide nor.
381,Parts and Inventory,8808.71,2023-11-01,Rise whose friend.
382,Parts and Inventory,5690.09,2022-12-03,West sound former.
383,Logistics and Transportation,2059.18,2022-08-25,Both actually every general.
384,Research and Development,1513.28,2023-02-17,With want specific represent.
385,Research and Development,5139.76,2022-09-01,Dinner class contain coach audience home describe.
386,Manufacturing and Production,4200.5,2022-07-17,Suggest technology medical.
387,Logistics and Transportation,8827.6,2022-09-12,Specific region hundred use.
388,Manufacturing and Production,9841.58,2023-11-06,Particular affect election argue wrong man hope.
389,Technology and IT Infrastructure,1666.94,2023-08-15,Wear example run over science situation newspaper.
390,Technology and IT Infrastructure,4098.92,2023-11-02,Have ball relationship forget.
391,Technology and IT Infrastructure,1513.2,2022-04-07,Account consider join assume yard.
392,Legal and Compliance,7918.15,2023-06-10,Popular everyone cover study country when list.
393,Marketing and Advertising,8609.12,2023-09-08,Set another strategy rather glass somebody my time.
394,Logistics and Transportation,3676.64,2022-10-31,Image else threat simply reduce name.
395,Logistics and Transportation,2134.59,2023-04-07,Scene decade report her.
396,Manufacturing and Production,8759.13,2023-05-12,Edge cold reality buy stuff.
397,Marketing and Advertising,9044.42,2023-04-08,Lawyer care true performance team evidence until knowledge.
398,Manufacturing and Production,8728.48,2023-07-16,By lot center.
399,Parts and Inventory,5322.6,2022-10-21,Condition game idea win.
400,Manufacturing and Production,105.58,2023-09-21,Far light land improve time.
401,Logistics and Transportation,2474.21,2022-12-05,Ball cost computer including land.
402,Technology and IT Infrastructure,3345.65,2022-08-04,Physical type decade treatment general laugh think or.
403,Manufacturing and Production,370.37,2023-01-07,Prepare magazine factor professor challenge plant game.
404,Vehicle Procurement,9667.42,2023-09-10,Success old return present might all full.
405,Parts and Inventory,4890.35,2022-07-14,Keep four maintain night soon wait.
406,Vehicle Procurement,5205.29,2022-01-18,Call give step single follow might tree.
407,Employee Salaries and Benefits,4724.9,2023-03-29,Establish man throughout agree marriage class somebody during.
408,Legal and Compliance,6882.87,2022-02-14,Voice once else system why.
409,Research and Development,4082.53,2023-12-21,Yeah feeling speech go.
410,Employee Salaries and Benefits,8353.78,2023-04-24,Laugh list seem factor.
411,Manufacturing and Production,1619.06,2023-05-09,Remain where yeah everybody might special.
412,Vehicle Procurement,902.35,2023-03-28,Natural reach suggest reflect himself wind century.
413,Technology and IT Infrastructure,6533.0,2023-07-26,Research true enjoy instead capital several general.
414,Logistics and Transportation,858.76,2023-09-23,Site should now serious mean matter.
415,Facility Maintenance and Utilities,4957.63,2022-02-20,News green surface.
416,Employee Salaries and Benefits,9714.65,2023-09-27,Itself his true health road wife.
417,Technology and IT Infrastructure,5354.41,2022-04-26,Theory miss person time unit picture.
418,Technology and IT Infrastructure,1456.9,2022-03-19,Effort interesting network process agency into success.
419,Legal and Compliance,8818.45,2022-08-19,List require couple source control.
420,Marketing and Advertising,8598.34,2022-12-19,Appear two story push draw.
421,Manufacturing and Production,3594.16,2023-04-09,Task this huge time another.
422,Parts and Inventory,4460.61,2023-01-10,Already recently government door wall type.
423,Facility Maintenance and Utilities,9733.01,2022-06-23,Ago boy often while wonder husband partner.
424,Employee Salaries and Benefits,8878.21,2022-08-05,Page every clearly land bank southern save.
425,Marketing and Advertising,7367.05,2023-02-06,Whole side call early test church.
426,Manufacturing and Production,1180.04,2022-05-20,Game popular true.
427,Facility Maintenance and Utilities,6111.01,2022-01-04,Indicate most certain baby rise.
428,Technology and IT Infrastructure,3975.17,2023-03-29,What why same real positive follow light.
429,Legal and Compliance,4504.37,2023-10-21,Table rule fire education garden heart.
430,Legal and Compliance,6579.31,2023-12-15,Over mention indeed green range.
431,Parts and Inventory,4435.81,2023-08-11,Page great community read reduce.
432,Marketing and Advertising,8541.72,2022-05-02,What when fear season.
433,Employee Salaries and Benefits,1069.14,2023-07-07,Offer environmental drop fund yard more would.
434,Parts and Inventory,2238.27,2022-01-26,Itself but size put dinner.
