Expense_ID,Category,Amount,Date,Description
1501,Parts and Inventory,250763.93,2023-12-28,Century record factor then.
1502,Manufacturing and Production,189748.76,2023-06-22,Onto product approach land last last.
1503,Manufacturing and Production,377679.97,2023-09-09,Tell institution play type recently opportunity.
1504,Employee Salaries and Benefits,461084.85,2023-04-01,World recent inside amount would case.
1505,Logistics and Transportation,427727.67,2023-02-02,Four fish memory help make.
1506,Vehicle Procurement,145113.95,2023-09-22,Many authority size number.
1507,Facility Maintenance and Utilities,164646.61,2023-01-29,Certain bad and cup husband.
1508,Facility Maintenance and Utilities,324672.81,2023-10-29,Fear all exist pay foreign building price.
1509,Facility Maintenance and Utilities,107442.33,2023-12-22,Big night draw.
1510,Manufacturing and Production,488022.75,2023-10-07,Realize she second structure.
1511,Parts and Inventory,360196.44,2023-11-09,Even Congress defense wait must election him likely.
1512,Manufacturing and Production,484700.75,2023-02-20,Old with positive.
1513,Marketing and Advertising,398781.72,2023-05-12,Staff fact whose stand child late anyone sister.
1514,Vehicle Procurement,233168.75,2023-09-09,Anyone model worry serve.
1515,Research and Development,315248.48,2023-07-25,Well single stock six current while.
1516,Legal and Compliance,239710.43,2023-02-25,Sister but woman.
1517,Vehicle Procurement,453656.77,2023-10-27,Evening break actually nice threat leave financial.
1518,Facility Maintenance and Utilities,236183.99,2023-04-08,Maintain avoid generation paper Congress final rock quite.
1519,Parts and Inventory,471369.03,2023-07-15,Police their world kind.
1520,Vehicle Procurement,127995.65,2023-09-27,Measure idea consumer hear Republican.
1521,Marketing and Advertising,422122.23,2023-02-04,Ask his open consider.
1522,Research and Development,389689.52,2023-03-16,Outside difficult provide.
1523,Vehicle Procurement,103362.29,2023-03-16,Me wrong leave audience.
1524,Manufacturing and Production,120646.35,2023-06-11,Key top sell close star chance catch common.
1525,Parts and Inventory,365638.26,2023-04-09,Goal billion training nothing wall reveal.
1526,Legal and Compliance,371386.82,2023-09-08,Couple anyone out wait.
1527,Facility Maintenance and Utilities,41555.68,2023-07-28,Because case forward really news score.
1528,Technology and IT Infrastructure,358612.3,2023-07-04,Computer popular item to fall newspaper majority.
1529,Employee Salaries and Benefits,383285.39,2023-10-21,Box floor Democrat provide yourself it want reason.
1530,Technology and IT Infrastructure,212689.88,2023-03-12,Worker off not Mrs against activity reflect.
1531,Parts and Inventory,123312.38,2023-02-02,Yeah six because though.
1532,Parts and Inventory,345703.43,2023-11-04,Affect memory really doctor.
1533,Logistics and Transportation,495012.28,2023-04-21,Second bring represent they time.
1534,Parts and Inventory,359512.4,2023-01-28,Bed news court space.
1535,Manufacturing and Production,199682.91,2023-11-22,Cup machine paper hit.
1536,Research and Development,35015.28,2023-02-06,Lawyer hundred put easy term trade.
1537,Manufacturing and Production,215751.03,2023-01-15,Country through lead very strategy green miss behind.
1538,Technology and IT Infrastructure,47699.21,2023-01-21,Our production market most buy sister.
1539,Marketing and Advertising,487950.59,2023-06-13,American pressure capital lay but thing by.
1540,Logistics and Transportation,28633.99,2023-04-12,Owner together baby hope.
1541,Vehicle Procurement,452943.76,2023-12-08,Skin five live goal around.
