Expense_ID,Category,Amount,Date,Description
1626,Logistics and Transportation,27269.92,2023-06-01,Budget until create always because road.
1627,Parts and Inventory,21269.61,2023-05-05,Series score I system treatment moment.
1628,Research and Development,95072.82,2023-05-22,Social medical effort think standard style.
1629,Marketing and Advertising,172990.27,2023-11-23,Open treatment mention thousand education minute everything.
1630,Logistics and Transportation,75193.88,2023-12-05,Simply hundred artist data view.
1631,Research and Development,56524.2,2023-01-05,Medical kid although rate source.
1632,Employee Salaries and Benefits,30307.33,2023-08-11,Maybe policy not miss care choose.
1633,Technology and IT Infrastructure,111161.0,2023-01-17,Type new gun east step trip foot.
1634,Research and Development,231793.64,2023-03-10,Special stage Republican wrong.
1635,Research and Development,107397.58,2023-08-16,And identify economic force.
1636,Manufacturing and Production,261289.35,2023-10-21,Real rule sister hold total single.
1637,Research and Development,7649.09,2023-08-17,Chair rather audience usually she science doctor.
1638,Facility Maintenance and Utilities,278165.0,2023-12-25,Fine lose read although sense.
1639,Marketing and Advertising,246685.54,2023-06-11,Tonight Democrat page effect fear.
1640,Legal and Compliance,94749.56,2023-05-29,Decide wear door herself nation rather better she.
1641,Vehicle Procurement,260626.77,2023-05-19,College fill exactly tree organization.
1642,Employee Salaries and Benefits,224388.21,2023-10-04,Here spring treat reach management yard.
1643,Marketing and Advertising,220903.97,2023-06-13,Keep move cost treatment make one.
1644,Technology and IT Infrastructure,16479.12,2023-05-24,Way never sound this option poor.
1645,Facility Maintenance and Utilities,172751.95,2023-08-06,Billion own throughout very trouble.
1646,Logistics and Transportation,229602.78,2023-06-17,Property yeah provide social protect suggest evening.
1647,Logistics and Transportation,225045.93,2023-01-04,Tax board off light teacher remember area.
1648,Parts and Inventory,186212.91,2023-04-06,Particular mouth center old national participant ability.
1649,Facility Maintenance and Utilities,15822.44,2023-01-21,Alone professor least likely.
1650,Technology and IT Infrastructure,186101.92,2023-04-07,Attack sign without sell century alone.
1651,Employee Salaries and Benefits,287962.74,2023-12-04,Expect once upon.
1652,Marketing and Advertising,106031.51,2023-08-27,Others key green effort test message.
1653,Legal and Compliance,139006.41,2023-09-25,Fight thing necessary.
1654,Logistics and Transportation,212678.36,2023-10-29,Under data black compare.
1655,Parts and Inventory,130000.23,2023-11-11,Base before house not coach economic same.
1656,Legal and Compliance,160374.36,2023-08-26,Herself picture manager civil tough second.
1657,Marketing and Advertising,58404.29,2023-09-20,Service unit hard message administration world business.
1658,Technology and IT Infrastructure,252833.36,2023-04-23,Skill animal on upon tax standard my.
1659,Parts and Inventory,204869.64,2023-02-15,Bank assume all meet town spend.
1660,Vehicle Procurement,156413.26,2023-05-16,Majority world speak.
1661,Technology and IT Infrastructure,245676.75,2023-06-06,Carry her story pretty image.
1662,Legal and Compliance,103795.29,2023-02-01,Magazine wish pass choose it son current seven.
1663,Legal and Compliance,245250.97,2023-03-13,Various almost street enjoy.
1664,Facility Maintenance and Utilities,256702.53,2023-10-04,Light stock old movie buy memory our.
1665,Employee Salaries and Benefits,218275.39,2023-12-09,Open fund around summer memory low.
1666,Technology and IT Infrastructure,141244.16,2023-08-26,System southern company pattern anything.
1667,Employee Salaries and Benefits,104199.94,2023-05-16,Business financial art reach parent happy.
1668,Vehicle Procurement,293404.05,2023-12-07,Contain perhaps health level too test.
1669,Parts and Inventory,24411.13,2023-03-07,Offer whether whose threat my get protect but.
1670,Employee Salaries and Benefits,79718.97,2023-04-29,According born agency both our bit trip.
1671,Research and Development,23979.28,2023-06-18,After quality interview law treatment low.
1672,Research and Development,56741.26,2023-01-29,Thus box forward technology feeling.
1673,Logistics and Transportation,13943.0,2023-11-03,First water sure yet.
1674,Marketing and Advertising,181694.34,2023-09-27,Season shoulder huge describe theory chance.
1675,Marketing and Advertising,42024.02,2023-11-03,Whole wait total agreement program five behind.
1676,Legal and Compliance,127357.4,2023-03-27,However front senior dark order city.
1677,Manufacturing and Production,87140.01,2023-10-19,Case recently perhaps single available fish.
1678,Parts and Inventory,282912.42,2023-10-10,Nice late story around marriage size.
1679,Employee Salaries and Benefits,167690.43,2023-11-21,World painting loss yet box different long.
1680,Vehicle Procurement,270349.8,2023-10-26,Wait soon player exist.
1681,Legal and Compliance,271411.27,2023-06-30,Minute change class consider see offer.
1682,Parts and Inventory,99977.92,2023-07-23,Base down forget off beyond recently see.
1683,Facility Maintenance and Utilities,272975.46,2023-08-04,Rather perhaps most stage wish employee son mind.
1684,Legal and Compliance,176042.72,2023-12-29,Sometimes themselves practice mean.
1685,Vehicle Procurement,209981.62,2023-01-11,Determine hold card create talk voice weight.
1686,Vehicle Procurement,115355.09,2023-09-21,Job chance choice test author.
1687,Legal and Compliance,82632.97,2023-01-05,Dark large seem office popular two middle.
1688,Vehicle Procurement,297130.48,2023-02-17,Yet maybe often which public choose.
1689,Employee Salaries and Benefits,256007.14,2023-02-13,Despite good hand.
1690,Marketing and Advertising,200796.36,2023-05-26,Former opportunity policy turn somebody.
1691,Legal and Compliance,241593.07,2023-03-24,Later probably character analysis.
1692,Employee Salaries and Benefits,61797.98,2023-08-01,Summer return consumer young.
1693,Facility Maintenance and Utilities,17066.02,2023-10-06,Miss far say add admit six box miss.
1694,Legal and Compliance,193344.16,2023-06-15,Course spring practice dog.
1695,Technology and IT Infrastructure,196252.72,2023-04-07,Thing pretty lot miss.
1696,Legal and Compliance,113584.67,2023-07-08,Case beautiful very.
1697,Vehicle Procurement,107077.49,2023-02-19,Owner left send eye reveal stay beyond.
1698,Manufacturing and Production,242301.05,2023-05-17,Power allow wish tree note.
1699,Vehicle Procurement,226575.99,2023-09-23,Fine base husband property floor.
1700,Manufacturing and Production,33043.27,2023-07-06,Threat free cut send create stuff memory.
1701,Marketing and Advertising,207348.47,2023-05-22,History response same add with yeah.
1702,Legal and Compliance,215008.57,2023-08-03,Assume property quickly lay.
1703,Manufacturing and Production,266319.27,2023-05-10,Long trouble star college.
1704,Employee Salaries and Benefits,182946.23,2023-01-13,Eat back middle notice support.
1705,Facility Maintenance and Utilities,228308.54,2023-04-14,Factor send war not radio.
1706,Technology and IT Infrastructure,213725.85,2023-12-07,Perhaps property Congress once.
1707,Vehicle Procurement,70925.63,2023-06-29,Where prevent vote each partner somebody system choice.
1708,Legal and Compliance,155657.8,2023-12-18,Picture wrong vote make.
1709,Vehicle Procurement,181074.93,2023-04-07,Method allow animal cold.
1710,Employee Salaries and Benefits,9749.11,2023-03-09,Prevent reduce hair line investment perhaps.
1711,Parts and Inventory,257850.6,2023-02-21,Way base brother indeed.
1712,Legal and Compliance,218851.44,2023-11-08,Couple price itself reveal great help.
1713,Manufacturing and Production,168044.49,2023-11-22,Condition protect entire never hotel.
1714,Logistics and Transportation,134393.17,2023-02-22,Success read two car Republican.
1715,Manufacturing and Production,196108.5,2023-11-23,Everybody husband others fear buy charge.
1716,Logistics and Transportation,255735.34,2023-01-22,Natural since process area.
1717,Legal and Compliance,154166.6,2023-06-03,Suddenly fast language successful risk give right team.
1718,Research and Development,7717.98,2023-01-29,We number sing majority key best.
1719,Vehicle Procurement,270577.94,2023-09-23,Keep land kind myself big.
1720,Parts and Inventory,15647.88,2023-08-11,However senior focus common smile address direction.
1721,Logistics and Transportation,139458.29,2023-05-04,Out manager voice necessary chair could environment among.
1722,Parts and Inventory,242852.43,2023-10-06,Life perform west role pull.
1723,Vehicle Procurement,115688.77,2023-06-27,Travel appear style major.
1724,Legal and Compliance,145851.73,2023-09-07,Article especially reveal throw open.
1725,Marketing and Advertising,238848.54,2023-01-18,Score hundred Congress down.
1726,Vehicle Procurement,244286.69,2023-08-14,Close score order will test face them.
1727,Technology and IT Infrastructure,139859.11,2023-06-16,Prepare security management whom analysis.
1728,Facility Maintenance and Utilities,255444.72,2023-03-14,Bad follow name perform.
1729,Technology and IT Infrastructure,112778.2,2023-10-12,Its three think.
1730,Logistics and Transportation,21693.98,2023-08-26,Put interview campaign color.
1731,Logistics and Transportation,116108.11,2023-12-17,Impact later thought decade close.
1732,Parts and Inventory,233898.33,2023-09-06,Wide second adult protect check outside.
1733,Vehicle Procurement,194177.21,2022-12-31,Treatment agreement land source low reduce keep.
1734,Manufacturing and Production,149036.01,2023-02-13,Bank life could run little stay.
1735,Manufacturing and Production,97359.59,2023-01-06,Speech own available general computer.
1736,Facility Maintenance and Utilities,73531.54,2023-05-11,Most produce hard participant professor environmental part.
1737,Technology and IT Infrastructure,53877.07,2023-04-04,Under movement approach strong.
1738,Technology and IT Infrastructure,123829.03,2023-01-07,Give tree democratic finish difficult enough.
1739,Research and Development,132583.63,2023-02-07,Indicate tax happen themselves term window offer.
1740,Legal and Compliance,154750.08,2023-05-05,Medical must scientist us.
1741,Marketing and Advertising,25080.55,2023-01-13,Support hospital talk modern new way.
1742,Employee Salaries and Benefits,108273.66,2023-12-28,Response clear professor.
1743,Legal and Compliance,192783.97,2023-12-11,Picture anyone movie employee field.
1744,Employee Salaries and Benefits,293460.33,2023-02-20,Attorney by certain.
1745,Marketing and Advertising,104394.0,2023-04-23,Think allow box result ask like stage.
1746,Legal and Compliance,19461.57,2023-08-23,Few week main ability world song candidate including.
1747,Legal and Compliance,278998.39,2023-06-29,Town begin score write.
1748,Parts and Inventory,168454.65,2023-09-11,Close art station word up.
1749,Research and Development,273755.38,2023-03-02,View answer difficult point small fight policy.
1750,Manufacturing and Production,222977.68,2023-07-03,Along radio rock purpose score agree.
