Product_Name,Total_Price
Performance Electric Model,6.286934118999999E7
Passenger Wagon,7.350601759E7
Chassis Cab,6.60318525E7
Station Wagon,7.348302752E7
High-Speed Performance SUV,5.823818583E7
Full-Size Sedan,7.475955727E7
Cargo Van,5.496185239999999E7
Vehicle Insurance Plans,6.447907822999999E7
Lease Agreements,6.803698128E7
Luxury Hybrid Coupe,4.825797828E7
Midsize Hybrid SUV,6.863587742999999E7
Oil Change and Lubrication Service,5.4567664E7
Trade-In Bonus Offer,5.4286361510000005E7
Brake Inspection and Replacement,6.0408668410000004E7
Electric Commercial Van,5.669049797999999E7
Extended Warranty Coverage,7.598171308E7
Engine Diagnostic and Repair,6.520239224E7
Exclusive Accessory Bundle Deal,8.800229575999999E7
Box Truck,6.910117245E7
Vehicle Navigation Systems,6.715512524000001E7
Midsize SUV,8.529112208999999E7
Custom Alloy Wheels,6.119923008E7
Tire Rotation and Alignment,7.888733425999999E7
Track-Focused Sports Car,5.508916251E7
Heavy-Duty Pickup Truck,6.462205045E7
Full-Size Hybrid Pickup Truck,6.190191275E7
Small Hatchback,5.823761878E7
Electric Luxury Sedan,7.340500416000001E7
Electric Sports Car,5.998196861E7
Compact Sedan,5.92792706E7
Financing Rate Promotion,6.749976400999999E7
Battery Check and Replacement,5.660609552000001E7
Luxury Performance Sedan,6.581849006999999E7
Compact Hybrid Sedan,7.847087854E7
All-Electric Compact Car,6.355978421000001E7
Limited-Time Discount on New Models,6.659796412E7
Electric Crossover SUV,4.471222828E7
New Vehicle Loan,5.861317849000001E7
Seasonal Service Package Discount,5.416077522E7
Car Audio and Entertainment Systems,7.161719719999999E7
All-Weather Floor Mats,6.4942022370000005E7
Hybrid Hatchback,5.777050062E7
Used Vehicle Financing,6.3281729150000006E7
Roof Racks and Carriers,5.292944946999999E7
High-Performance Sports Coupe,6.959083564999999E7
