Product_Name,Total_Price
Performance Electric Model,5.606989656E7
Passenger Wagon,5.52163641E7
Chassis Cab,7.644819146E7
Station Wagon,5.085535617999999E7
High-Speed Performance SUV,7.110381223E7
Full-Size Sedan,7.341520175E7
Cargo Van,5.337105911999999E7
Vehicle Insurance Plans,7.537402084E7
Lease Agreements,5.9534391480000004E7
Luxury Hybrid Coupe,6.246372477E7
Midsize Hybrid SUV,6.072662607000001E7
Oil Change and Lubrication Service,6.727948666999999E7
Trade-In Bonus Offer,8.092395958E7
Brake Inspection and Replacement,6.629722153E7
Electric Commercial Van,6.320122756E7
Extended Warranty Coverage,5.9804807389999986E7
Engine Diagnostic and Repair,6.819050084E7
Exclusive Accessory Bundle Deal,6.920122796000001E7
Box Truck,7.089357534E7
Vehicle Navigation Systems,5.734256470999999E7
Midsize SUV,6.716815927E7
Custom Alloy Wheels,7.594560459999998E7
Tire Rotation and Alignment,6.3135322280000016E7
Heavy-Duty Pickup Truck,6.306315163E7
Track-Focused Sports Car,7.751429502E7
Full-Size Hybrid Pickup Truck,7.400360782000001E7
Small Hatchback,6.323652885000001E7
Electric Luxury Sedan,8.460162585E7
Electric Sports Car,4.712212969E7
Compact Sedan,7.627761589000002E7
Financing Rate Promotion,6.614323736000001E7
Battery Check and Replacement,7.46580074E7
Luxury Performance Sedan,6.674014156E7
Compact Hybrid Sedan,6.827521413999999E7
All-Electric Compact Car,7.96251617E7
Limited-Time Discount on New Models,6.947343329E7
Electric Crossover SUV,4.707423166E7
New Vehicle Loan,6.4255193660000004E7
Car Audio and Entertainment Systems,7.464562504000002E7
Seasonal Service Package Discount,6.250462785999999E7
All-Weather Floor Mats,6.849000536E7
Hybrid Hatchback,7.505303616E7
Roof Racks and Carriers,6.610380954000001E7
Used Vehicle Financing,6.413079197E7
High-Performance Sports Coupe,5.307057931E7
