Product_Name,Total_Price
Performance Electric Model,7.300325508000001E7
Passenger Wagon,6.857173661999999E7
Chassis Cab,7.545976202000001E7
Station Wagon,7.592860451999998E7
High-Speed Performance SUV,8.587985156E7
Full-Size Sedan,7.250676217E7
Cargo Van,7.947889982999998E7
Vehicle Insurance Plans,6.201846193999999E7
Lease Agreements,5.4711208E7
Luxury Hybrid Coupe,7.269891624E7
Midsize Hybrid SUV,6.917347108000001E7
Oil Change and Lubrication Service,6.939954332E7
Trade-In Bonus Offer,6.08144312E7
Brake Inspection and Replacement,6.600519230999999E7
Electric Commercial Van,7.515314759E7
Extended Warranty Coverage,8.491139885E7
Engine Diagnostic and Repair,8.368125613E7
Exclusive Accessory Bundle Deal,6.865760307000001E7
Box Truck,5.7417293330000006E7
Vehicle Navigation Systems,6.087868392999999E7
Midsize SUV,8.927752428E7
Custom Alloy Wheels,6.087715114999999E7
Tire Rotation and Alignment,7.412771077999999E7
Heavy-Duty Pickup Truck,5.030653759E7
Track-Focused Sports Car,5.418622712000001E7
Full-Size Hybrid Pickup Truck,6.556513262E7
Small Hatchback,6.451473003999999E7
Electric Luxury Sedan,6.68657795E7
Electric Sports Car,7.317645381E7
Compact Sedan,5.711680017999999E7
Financing Rate Promotion,7.469021030000001E7
Battery Check and Replacement,8.845545155E7
Luxury Performance Sedan,7.273009483E7
Compact Hybrid Sedan,7.008503716E7
All-Electric Compact Car,6.812817388000001E7
Electric Crossover SUV,4.6033760160000004E7
Limited-Time Discount on New Models,7.034423161E7
New Vehicle Loan,4.940965405E7
Seasonal Service Package Discount,6.737877594E7
Car Audio and Entertainment Systems,8.358081544E7
Hybrid Hatchback,7.089442425E7
All-Weather Floor Mats,5.796085421E7
Roof Racks and Carriers,6.465353271E7
Used Vehicle Financing,5.019258171000001E7
High-Performance Sports Coupe,6.948065986999999E7
