Transaction_ID,Customer_ID,Product_Category,Quantity,Price,Date,Product_Name
751,99817,Financing and Insurance,2,1187447.61,2023-10-02T00:00:00.000+02:00,Vehicle Insurance Plans
752,69482,Standard Vehicle,4,773702.57,2023-11-02T00:00:00.000+01:00,Full-Size Sedan
753,69861,Service and Maintenance,1,41355.81,2023-06-09T00:00:00.000+02:00,Tire Rotation and Alignment
754,63819,Commercial Vehicle,5,2910761.79,2023-02-28T00:00:00.000+01:00,Box Truck
755,93051,Service and Maintenance,7,787849.98,2023-11-25T00:00:00.000+01:00,Brake Inspection and Replacement
756,97273,Performance Vehicle,4,510164.02,2023-05-29T00:00:00.000+02:00,High-Performance Sports Coupe
757,61707,Electric Vehicle,8,1651109.14,2023-06-05T00:00:00.000+02:00,Electric Crossover SUV
758,81528,Hybrid Vehicle,4,426667.68,2023-12-19T00:00:00.000+01:00,Hybrid Hatchback
759,26142,Electric Vehicle,9,2702426.69,2023-05-21T00:00:00.000+02:00,All-Electric Compact Car
760,86244,Electric Vehicle,6,789738.01,2023-03-08T00:00:00.000+01:00,Electric Sports Car
761,56441,Service and Maintenance,2,2294354.27,2023-07-18T00:00:00.000+02:00,Oil Change and Lubrication Service
762,15843,Service and Maintenance,1,1795009.28,2023-05-02T00:00:00.000+02:00,Tire Rotation and Alignment
763,39029,Service and Maintenance,4,318232.26,2023-12-06T00:00:00.000+01:00,Engine Diagnostic and Repair
764,23860,Performance Vehicle,8,1107312.0,2023-08-31T00:00:00.000+02:00,Performance Electric Model
765,8704,Hybrid Vehicle,9,2859153.96,2023-10-24T00:00:00.000+02:00,Luxury Hybrid Coupe
766,93982,Standard Vehicle,3,1103710.87,2023-12-20T00:00:00.000+01:00,Midsize SUV
767,93787,Financing and Insurance,8,584150.92,2023-02-24T00:00:00.000+01:00,Vehicle Insurance Plans
768,80330,Electric Vehicle,9,544697.6,2023-10-20T00:00:00.000+02:00,Electric Crossover SUV
769,15709,Electric Vehicle,5,851382.98,2023-07-14T00:00:00.000+02:00,Electric Crossover SUV
770,38147,Commercial Vehicle,10,2251130.71,2023-11-13T00:00:00.000+01:00,Chassis Cab
771,6108,Hybrid Vehicle,2,1079874.17,2023-05-04T00:00:00.000+02:00,Full-Size Hybrid Pickup Truck
772,41099,Performance Vehicle,9,2131912.79,2023-04-08T00:00:00.000+02:00,High-Speed Performance SUV
773,27336,Hybrid Vehicle,5,1388411.07,2023-01-22T00:00:00.000+01:00,Hybrid Hatchback
774,84023,Parts and Accessories,4,259134.81,2023-07-21T00:00:00.000+02:00,Car Audio and Entertainment Systems
775,26238,Special Offers,2,2307222.94,2023-03-01T00:00:00.000+01:00,Trade-In Bonus Offer
776,99795,Special Offers,8,452662.25,2023-01-12T00:00:00.000+01:00,Financing Rate Promotion
777,57606,Service and Maintenance,7,2323665.45,2023-10-09T00:00:00.000+02:00,Engine Diagnostic and Repair
778,83268,Parts and Accessories,10,2432269.54,2023-05-07T00:00:00.000+02:00,Vehicle Navigation Systems
779,71798,Electric Vehicle,2,485785.48,2023-01-20T00:00:00.000+01:00,Electric Luxury Sedan
780,27725,Financing and Insurance,10,419932.92,2023-12-07T00:00:00.000+01:00,New Vehicle Loan
781,62338,Performance Vehicle,6,2665362.67,2023-02-25T00:00:00.000+01:00,Track-Focused Sports Car
782,50400,Commercial Vehicle,9,1095145.26,2023-08-09T00:00:00.000+02:00,Box Truck
783,14257,Financing and Insurance,7,2278452.74,2023-12-19T00:00:00.000+01:00,Vehicle Insurance Plans
784,60205,Electric Vehicle,5,2455412.27,2023-04-02T00:00:00.000+02:00,All-Electric Compact Car
785,48357,Parts and Accessories,6,1696181.01,2023-01-20T00:00:00.000+01:00,Roof Racks and Carriers
786,42098,Hybrid Vehicle,7,2254530.73,2023-06-20T00:00:00.000+02:00,Full-Size Hybrid Pickup Truck
787,94215,Service and Maintenance,9,625546.49,2023-05-22T00:00:00.000+02:00,Brake Inspection and Replacement
788,725,Electric Vehicle,7,494055.19,2023-04-29T00:00:00.000+02:00,Electric Luxury Sedan
789,35533,Standard Vehicle,4,2577715.05,2023-12-05T00:00:00.000+01:00,Full-Size Sedan
790,61645,Parts and Accessories,3,2933052.59,2023-12-17T00:00:00.000+01:00,Roof Racks and Carriers
791,95781,Parts and Accessories,4,33839.71,2023-05-29T00:00:00.000+02:00,Custom Alloy Wheels
792,83878,Parts and Accessories,10,1579247.75,2023-05-02T00:00:00.000+02:00,Roof Racks and Carriers
793,58527,Performance Vehicle,7,1548690.41,2023-11-27T00:00:00.000+01:00,Luxury Performance Sedan
794,89827,Hybrid Vehicle,1,318592.12,2023-06-15T00:00:00.000+02:00,Full-Size Hybrid Pickup Truck
795,38190,Standard Vehicle,10,583900.39,2023-10-24T00:00:00.000+02:00,Compact Sedan
796,90417,Standard Vehicle,1,2569647.71,2023-12-28T00:00:00.000+01:00,Station Wagon
797,30588,Electric Vehicle,10,488739.17,2023-05-12T00:00:00.000+02:00,Electric Sports Car
798,80269,Service and Maintenance,1,647607.57,2023-11-11T00:00:00.000+01:00,Oil Change and Lubrication Service
799,14501,Electric Vehicle,8,608600.0,2023-04-15T00:00:00.000+02:00,Electric Sports Car
800,9720,Electric Vehicle,9,1676368.91,2023-05-30T00:00:00.000+02:00,Electric Commercial Van
