Transaction_ID,Customer_ID,Product_Category,Quantity,Price,Date,Product_Name
1126,81935,Standard Vehicle,10,620391.76,2023-03-07T00:00:00.000+01:00,Full-Size Sedan
1127,6612,Standard Vehicle,2,2895025.05,2023-04-25T00:00:00.000+02:00,Station Wagon
1128,33725,Electric Vehicle,1,484531.32,2023-09-04T00:00:00.000+02:00,Electric Commercial Van
1129,45165,Electric Vehicle,10,1552079.48,2023-03-02T00:00:00.000+01:00,Electric Crossover SUV
1130,11745,Commercial Vehicle,4,298819.94,2023-05-05T00:00:00.000+02:00,Box Truck
1131,29283,Performance Vehicle,5,164165.09,2023-08-12T00:00:00.000+02:00,Track-Focused Sports Car
1132,40368,Financing and Insurance,4,2190175.97,2023-06-02T00:00:00.000+02:00,Extended Warranty Coverage
1133,39387,Commercial Vehicle,1,723903.81,2023-11-13T00:00:00.000+01:00,Heavy-Duty Pickup Truck
1134,75407,Performance Vehicle,9,767997.76,2023-12-13T00:00:00.000+01:00,High-Speed Performance SUV
1135,94365,Electric Vehicle,9,979400.61,2023-05-30T00:00:00.000+02:00,Electric Commercial Van
1136,9765,Standard Vehicle,7,799298.55,2023-07-12T00:00:00.000+02:00,Full-Size Sedan
1137,78497,Commercial Vehicle,6,2596045.78,2023-04-13T00:00:00.000+02:00,Chassis Cab
1138,61883,Standard Vehicle,1,2375566.81,2023-08-29T00:00:00.000+02:00,Station Wagon
1139,69474,Parts and Accessories,9,568625.78,2023-04-22T00:00:00.000+02:00,All-Weather Floor Mats
1140,19567,Performance Vehicle,4,2445000.62,2023-07-12T00:00:00.000+02:00,Performance Electric Model
1141,23248,Special Offers,7,1936890.12,2023-03-09T00:00:00.000+01:00,Financing Rate Promotion
1142,31780,Financing and Insurance,2,1549333.04,2023-11-22T00:00:00.000+01:00,Extended Warranty Coverage
1143,98038,Electric Vehicle,5,2981175.6,2023-01-24T00:00:00.000+01:00,All-Electric Compact Car
1144,16506,Commercial Vehicle,9,1211491.64,2023-06-05T00:00:00.000+02:00,Cargo Van
1145,47541,Parts and Accessories,9,1187847.78,2023-02-27T00:00:00.000+01:00,Roof Racks and Carriers
1146,40589,Standard Vehicle,1,1009772.54,2023-03-28T00:00:00.000+02:00,Midsize SUV
1147,20329,Electric Vehicle,9,1925711.96,2023-06-26T00:00:00.000+02:00,Electric Crossover SUV
1148,90936,Electric Vehicle,6,2190697.75,2023-12-11T00:00:00.000+01:00,Electric Sports Car
1149,20462,Electric Vehicle,3,1513856.81,2023-10-17T00:00:00.000+02:00,Electric Crossover SUV
1150,258,Parts and Accessories,5,1136351.77,2023-01-26T00:00:00.000+01:00,Car Audio and Entertainment Systems
1151,8473,Electric Vehicle,9,892870.68,2023-09-11T00:00:00.000+02:00,Electric Luxury Sedan
